tc_author-short,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ABEILLE,0.0119686575,0.000118054,0.0002613505,0.0048134634,0.0362356238,0.0120222966,0.0348882857,0.0025308418,0.0007787321,7.69E-05,7.16E-05,8.14E-05,0.0008746009,0.0019678452,0.0019789081,0.0002635087,0.0013319081,0.0162609687,0.0143377189,0.0035007872,0.0020766161,0.0556370228,0.0019274411,6.78E-05,0.0181376326,0.0087681669,0.000828464,0.0055862576,0.0008109742,0.0006256184,6.20E-05,0.0067149975,0.0615260633,0.0293458032,4.18E-05,0.0003262773,0.00592828,0.0175586673,0.0209105807,0.2461152233,0.0017478907,0.0001054429,0.0002388284,0.0104538899,0.0086099144,0.0392741431,7.34E-05,0.0126522138,4.83E-05,7.94E-05,3.02E-05,0.0218281901,0.0003181474,0.0056908938,0.0892884731,0.0013949676,0.0108426388,0.0038120662,0.1661097375,4.21E-05
ALLAINVAL,0.0030380114,0.0440480725,0.0003123289,0.0042143845,0.0016388297,0.0068025364,0.0163563778,0.0019808638,0.0099521498,0.0001023011,0.0005915203,0.0001083121,0.0015431899,0.0007456151,0.0735219559,0.0022609882,0.2922383454,0.0025867643,0.0032859805,0.0008547972,0.0011939721,0.0124283504,0.2770204603,0.001274035,0.0073339338,0.0001127124,0.0127731163,0.0006331862,0.0018913634,0.0002617931,0.0011460562,0.003609444,0.003760389,0.0040739086,5.55E-05,0.0038488769,0.0440382752,0.0128347975,0.0027564373,0.0058201053,0.0007785921,0.0319373613,2.52E-05,0.0023274058,0.0138043348,0.0123061746,9.77E-05,0.0005523465,0.0099232329,0.0155906541,0.0003068654,0.0105058311,0.0147692151,0.0039360692,0.0084618286,8.70E-05,0.0011558012,0.0014306631,0.0083726552,0.0005810558
AURE,0.0283592412,0.0031705225,0.003761174,0.0411597654,0.015073463,0.0145485798,0.0048874668,0.0248690372,0.0085203023,0.0038741696,0.0002345282,0.0241324726,0.0045959399,0.0040679015,0.0105608385,0.0007415163,0.0060432759,0.003405559,0.0584453392,0.0140902271,0.0002344365,0.0253560308,0.0059786755,0.0003182255,0.0130770132,0.0053854217,0.0060252353,0.035003726,0.0027193802,0.005116757,0.0002949304,0.0320040491,0.007779968,0.0137993792,0.0002055602,0.0186080133,0.0329623951,0.038325869,0.0093888725,0.0249404522,0.0193561445,0.0051480722,2.27E-05,0.0145130118,0.0007461529,0.0084659688,0.0260754005,0.0144143785,0.0013434772,0.0008081822,0.1919543907,0.0287533534,9.66E-05,0.0893425206,0.0045892431,0.0061742853,0.0031558425,0.0111995308,0.0192945664,0.0024804319
BACULARD,0.0040040384,0.0001454799,5.03E-05,0.0060962981,0.0005273709,0.0185573791,0.0062316185,0.0025147095,0.000360243,9.48E-05,8.82E-05,0.0889601406,0.0029570171,0.0061603429,0.000279693,5.37E-05,0.0002816777,0.038953417,0.0153756198,0.0254520908,0.0076465478,0.0019721359,0.000861005,0.0005239552,0.0157707537,0.0049837905,0.0049469246,0.0500692911,0.0028712855,0.0015975392,7.65E-05,0.0012897889,0.009035708,0.08707798,0.0002959617,0.001564814,0.0020790398,0.0039611177,0.0300016615,0.2412013779,0.0018972996,0.000129939,2.33E-05,0.0047797168,0.0002370545,0.0020212836,0.0003107087,0.0101401668,5.95E-05,9.79E-05,3.72E-05,0.005927335,0.00054625,0.0015000869,0.0035884397,8.06E-05,0.1829341868,0.0056494021,0.0950164209,5.19E-05
BARANTE,0.0036807854,0.0743088932,4.78E-05,0.0069213102,0.0108841768,0.0047150243,0.0049126651,0.0017655964,0.0103409172,0.051204648,8.38E-05,9.53E-05,0.0004329304,0.0835569682,0.0424908775,0.1030744195,0.1698820912,0.0002001846,0.0082352817,0.0021059147,0.0001403675,0.0022041517,0.0190277674,7.93E-05,0.0064986316,0.0006836766,0.0013466369,0.0030251806,0.000411382,0.0008356633,0.0352463302,0.0250449288,0.0037950305,0.0065297577,0.0114434186,0.021489882,0.0493706748,0.0086167943,0.0032622081,0.0046498813,0.0018734281,0.0696112833,0.0036652384,0.0077471504,0.0016920404,0.0091159911,0.0194987629,0.0011825205,0.004449399,0.0341595746,0.0002417457,0.0148727652,9.43E-05,0.0084664916,0.014412795,0.0002930022,0.0050738359,0.0016714708,0.0020863281,0.0171505308
BARANTEDUFRESNY,0.0003693914,0.0855142114,4.90E-05,0.0118748876,0.0211112461,0.0147623964,0.0022838066,0.0042205505,0.0001194601,0.0560689919,0.0012203223,9.77E-05,0.0025058422,0.042602716,0.0123064413,0.1436650184,0.0426706346,0.0002050467,0.0042750943,0.0002973422,0.0017153015,0.0120247169,0.0017966593,8.13E-05,0.0076531255,0.0106794077,0.0132059214,0.002268539,0.0001768538,0.0021584483,0.0392012596,0.033175423,0.0076275918,0.0076653897,0.0498027571,0.0586353445,0.0300656989,0.0097329078,0.010737062,0.0035505035,0.0002286298,0.1087423175,0.0031657483,0.0047431475,0.0002306724,0.0041083725,0.0088295708,0.0002678631,0.025486321,0.0044169285,3.62E-05,0.0096402692,0.0112166587,0.0058137153,0.0043342697,0.004238351,0.0048459916,0.0007750294,0.0026180949,0.0480876526
BENSERADE,0.0055633253,0.001247057,0.002684783,0.0129501364,0.0044105997,0.0067988308,0.0341976556,0.0529888626,0.0002916015,0.0004247281,0.0004339792,0.0003714764,0.0028262773,0.0017136163,0.0009988355,0.0004935029,0.0013914998,0.0117089999,0.1050119069,0.0151034715,0.0075390961,0.0052939146,0.0001766403,0.0249524897,0.0042306381,0.006290435,0.001461304,0.0313063319,0.0199919322,0.0219727344,0.0001553153,0.0102540624,0.0139734494,0.0132752921,0.0001335791,0.0077739994,0.0079434698,0.0133248248,0.1418113324,0.0306227802,0.0264380526,0.0003858981,2.16E-05,0.0382804194,0.0069120421,0.0216918306,0.0011797748,0.0050893781,5.51E-05,0.0007602528,3.45E-05,0.0984730055,0.0003845298,0.1225190535,0.0108214292,0.000683609,0.0032089554,0.0349308182,0.0034357588,0.0005992157
BERNARD,0.0023182666,0.0001322573,4.57E-05,0.0259350335,0.0033533849,0.029351897,0.0168195432,0.0068650466,0.0001116071,0.0016645475,0.0002897496,9.12E-05,0.0104166421,0.0012205422,0.0002542717,4.89E-05,0.0004713448,0.0074121431,0.0226676287,0.0452159251,0.0489976719,0.0645636688,0.0010597907,7.59E-05,0.0203783372,0.0005050994,0.0008041059,0.0014926974,0.0009873877,0.0017481993,0.0007212113,0.0046343485,0.1456552722,0.1192978238,4.68E-05,0.0001126712,0.0008321509,0.0018916616,0.0025334949,0.0708370181,0.0006255167,0.0003333977,2.12E-05,0.006788792,0.0142729949,0.0362006075,8.23E-05,0.0412446936,5.41E-05,0.0003075375,3.38E-05,0.0345506398,0.000307521,0.0054046858,0.0653899757,0.0007629661,0.0114296828,0.0184412224,0.1018402348,4.72E-05
BEYS,0.0126053105,0.0003517159,4.10E-05,0.0131013999,0.0108353819,0.0186688215,0.0206539948,0.0132074838,0.0093148622,7.72E-05,7.18E-05,0.0005153395,0.0021174444,0.0024054988,0.0004458173,4.38E-05,0.0031835006,0.0045500376,0.0287052481,0.0036016124,0.0016465387,0.0025805763,0.0010742042,6.80E-05,0.0116976367,0.0255344514,0.0133816597,0.0176406195,0.0364615373,0.0025243804,0.0005190455,0.0007000916,0.0073910781,0.0079710677,4.19E-05,0.0268357904,0.0021309068,0.069865513,0.0175447569,0.0087332841,0.0008910543,0.0022260222,0.0009519333,0.0386275237,0.0183426273,0.0709434366,0.0145006852,0.0022668021,4.84E-05,7.97E-05,3.03E-05,0.0259737327,8.09E-05,0.3990438278,0.0058543993,6.57E-05,0.0017900454,0.0170134892,0.0023868616,4.23E-05
BIANCOLELLI,0.0016058214,0.0167515436,0.0005342323,0.0229162678,0.0257214745,0.0005945784,0.030356663,0.014420139,0.0004013497,0.0444164532,8.17E-05,9.30E-05,0.0002256014,0.0364932034,0.0151239576,0.0529781798,0.0112846457,0.0001953418,0.0110955097,0.0018658282,0.0001369718,0.0361994345,0.0038757478,7.74E-05,0.2011243232,0.0021693707,0.003354402,0.0064355736,0.0031475465,0.010210515,0.0005871801,0.0437310502,0.0121390985,0.0457259768,4.77E-05,0.0103254083,0.1828194856,0.01988066,0.0015516744,0.0165149404,0.0004567155,0.0230215419,0.0049929356,0.0059417172,0.0004844636,0.0035120996,0.0067397449,0.0005519446,0.0012421643,0.0092527093,0.0002992003,0.0109908332,0.0035372831,0.010993599,0.0106641346,0.0014643632,0.0018982895,0.0009069604,0.0057651222,0.0100741194
BIANCOLLELLI,0.0151820437,0.0236772242,4.52E-05,0.0480924121,0.0117784247,0.0010053893,0.0067167764,0.0078783129,0.0001102944,0.0190097397,0.0018987386,0.0007207719,0.0025290955,0.025067031,0.0211927487,0.0223300765,0.047192977,0.0004169309,0.0031821838,0.0025696282,0.0005923724,0.1257609771,0.0250107985,7.50E-05,0.0828823111,0.0018246027,0.0245988719,0.0023493236,0.0029229435,0.0159290741,0.0053948554,0.0509642769,0.0198707053,0.0196175939,0.000272406,0.0005203353,0.1430846147,0.0041674435,0.0054401047,0.0076239675,0.001462742,0.0057423977,2.10E-05,0.0097900073,0.0002129738,0.0029237788,0.0062570687,0.0008564044,0.0005220998,0.016483992,3.34E-05,0.0252896909,8.92E-05,0.0181569695,0.0079145299,7.24E-05,0.0003054554,0.0003722505,0.0148214154,0.089173571
BIEVRE,0.0119243321,0.0033956252,0.0002365665,0.1004683032,0.016244184,0.0019630168,0.0328271112,0.0017999716,0.0003143128,0.0001093715,0.0012909199,0.0002879029,0.0026002329,0.1001651848,0.0082874305,0.0007618674,0.0167435543,0.0007513991,0.0039062432,0.001402269,0.0001704754,0.0428507545,0.1321125887,0.0002662413,0.0551114319,0.0004445898,0.0160794903,0.0048306849,0.0005513155,0.0083214664,0.0070541766,0.023717116,0.0262365082,0.166644126,0.000231476,0.0045954417,0.0077332379,0.0095051743,0.0063369023,0.0117789602,0.0025155467,0.0049578739,2.69E-05,0.0033409361,0.0071254624,0.0261557908,0.0061092951,0.0099035765,0.0285405022,0.0001129205,0.0003650197,0.0295585398,0.0005977244,0.0107967612,0.0011149553,9.30E-05,0.0104131511,0.0031933486,0.0231129366,0.0019137607
BLANC,0.0011129315,0.0001120822,0.0003881026,0.0009930365,0.0055982808,0.0009705031,0.003774622,0.0022122839,9.46E-05,0.0005903095,0.0009048245,0.0398248079,0.0006760149,0.0008474859,0.0022439343,4.14E-05,0.000217013,0.2564537418,0.002017151,0.005548007,0.0092080096,0.0192608001,0.0001468457,6.43E-05,0.013191518,8.05E-05,0.0004535249,0.0329223271,0.0001400233,0.0026121706,5.89E-05,0.0014022073,0.0352424057,0.2365969949,3.96E-05,9.55E-05,0.0011988397,0.0008374809,0.0195390392,0.0773858377,0.0001810168,0.0002646645,1.80E-05,0.0133162857,0.000869804,0.002372156,0.0006108617,0.003815541,4.58E-05,7.54E-05,2.87E-05,0.0100264789,7.65E-05,0.0041697166,0.0011871968,6.21E-05,0.1417935853,0.0049704125,0.0409778075,4.00E-05
BOHAIRE,0.0119893147,0.0001685287,5.83E-05,0.0040398076,0.0003276827,0.0077717971,0.0020171439,0.0012426176,0.0001422152,0.0001098132,0.0001021508,0.0442053279,0.0034351604,0.0017689034,0.0007312251,0.0144692329,0.002362403,0.0249851805,0.0108421797,0.0021902823,0.0005512942,0.0181478957,0.000585407,0.0019811332,0.0006218255,0.0008812496,0.0001653075,0.1349761636,0.0036161911,0.0069633328,0.0019919739,0.0286269554,0.0125145068,0.0619023518,0.0004308506,0.0001435711,0.0019858163,0.000520494,0.077599577,0.1122299449,0.0021728314,0.0001505256,2.70E-05,0.0147776409,0.0022983295,0.009086272,0.015179911,0.0179931125,6.89E-05,0.0001133765,0.004781171,0.0237666332,0.0001150494,0.0010200015,0.0008455663,9.34E-05,0.2350120917,0.0594444997,0.0081796417,0.0054789499
BOISROBERT,0.0472386481,0.0005280775,0.0004533158,0.0475660916,0.0214440811,0.02843613,0.0603792182,0.0300309985,0.0346408593,9.20E-05,0.0074067825,0.0006626103,0.0040091496,0.0028773006,0.0032879801,5.22E-05,0.0006489512,0.0020743415,0.0381520479,0.0180356464,0.0011108331,0.0216267854,0.0018036113,0.0004884976,0.0460597945,0.0011992154,0.0181093708,0.0051918435,0.0100324037,0.0163471339,0.0004657033,0.0092732432,0.0827732572,0.0108863804,0.0035953106,0.0019802781,0.0057303559,0.0312810474,0.0256215658,0.0137201292,0.0176382076,0.0002247893,2.26E-05,0.0237024449,0.0233363012,0.0124085375,8.79E-05,0.0078401331,0.001016877,0.0007818576,0.0012791948,0.0450791488,0.0020072767,0.1420607282,0.0160888053,0.0026437209,0.0031290077,0.0353987742,0.0098901031,5.04E-05
BOISSY,0.0152822024,0.01020535,0.0007071223,0.0725226043,0.0059115825,0.0012284875,0.00685138,0.0039953985,0.0005525438,0.0004174883,0.0011897117,0.0022111906,0.0039040556,0.0712025831,0.0301626593,0.0193374785,0.0218165783,0.0029525167,0.0107331909,0.0024583552,0.0002659464,0.0286677974,0.2011089922,7.86E-05,0.0900283183,0.0004244702,0.01864771,0.0185337815,0.0017505886,0.0007616884,0.0468357515,0.0180563117,0.0179872259,0.0345774226,0.0278924099,0.010362438,0.0127243711,0.0135213987,0.0079464232,0.01115572,0.0017719777,0.0007629325,0.0001543168,0.0293397165,0.0067775776,0.009184653,0.0026035193,0.0026946035,0.0036513041,0.0070011905,0.0012818113,0.0142212578,0.0033437667,0.0190382116,0.0068050375,0.0008117998,0.0110493602,0.0020433484,0.0303022127,0.0021915279
BOURSAULT,0.018226424,0.0037051379,0.0012443926,0.0300702359,0.0233105875,0.0082929726,0.042656198,0.0056281142,0.0109290621,0.0097645504,0.0008450515,0.0022648143,0.0115727964,0.0046556451,0.0086586137,0.0018298926,0.0035711944,0.005525707,0.0212938753,0.0207864783,0.0040277363,0.0175738463,0.001581327,0.0004422874,0.0504688003,0.0017179659,0.0064180284,0.0077629616,0.0024604902,0.008244115,0.0004868391,0.0217149779,0.1088088322,0.0249690712,0.0009095072,0.0012893118,0.1265293501,0.0168426638,0.0067705251,0.0372377257,0.0056619648,0.0026584475,2.63E-05,0.0321586798,0.0113154892,0.032621203,0.0002084699,0.0541330778,0.0011209565,0.0010999494,4.19E-05,0.0305661149,0.0011517793,0.0138394672,0.059357448,0.0012625809,0.0040120969,0.0187191141,0.0469154676,0.0020413566
BOYER,0.0343155026,0.0002928968,0.0015340484,0.0131155639,0.0059807582,0.0314263522,0.0150611617,0.0160083297,0.0016718611,0.0001804371,0.0004593234,0.0046693859,0.0080630747,0.0019001117,0.001089377,5.56E-05,0.0007546572,0.0151114999,0.0368474858,0.0089481469,0.0127741479,0.017301199,0.0007666505,0.0089620998,0.0301056653,0.002600388,0.0014731271,0.0165577186,0.0038968418,0.0105194154,0.000156143,0.0027541892,0.1370127575,0.0206363391,0.000151483,0.0010992474,0.0022703687,0.008636964,0.0538076244,0.1048107678,0.0060529042,0.0003773015,2.42E-05,0.0275224097,0.0164937831,0.0368751771,0.0003794683,0.0241709261,0.0006476492,0.0001666921,8.30E-05,0.0684588252,0.0003508022,0.0101799634,0.0506624949,0.0006812142,0.0038890921,0.0612225219,0.0578856451,9.72E-05
BOYERA,0.0030690476,0.0001272672,0.0015941279,0.0183548853,0.0020258104,0.0178041698,0.006875483,0.0372065554,0.0091342649,0.0005468281,7.71E-05,0.0010278186,0.0010680563,0.0468689843,0.0273601641,4.70E-05,0.0073224244,0.0007609403,0.0506622552,0.0030254305,0.1016065466,0.0059887203,0.0001667404,0.0012365146,0.0753969682,0.0042892374,0.0004082816,0.0963240831,0.0007386745,0.0038927756,0.0023473201,0.0184186987,0.0165955541,0.0757687076,0.0007570854,0.0048167129,0.0083948138,0.0146298165,0.0547602142,0.0132648189,0.0458115028,0.0023319175,0.0003321167,0.0135680591,0.0169696887,0.0020918186,0.0082682846,0.0160520305,0.0089749998,0.0019011455,3.25E-05,0.046958357,0.0003873523,0.0211139513,0.0082260991,0.0008049503,0.0432031227,0.0108525864,0.0165664121,0.0007921044
BROSSE,0.0528220643,0.0019104125,6.31E-05,0.0639853465,0.0158901056,0.0171835771,0.0179774484,0.0631958223,0.0001538809,0.0075161438,0.0049034164,0.0001258027,0.0012460983,0.0111559075,0.0180126853,6.74E-05,0.0266168473,0.0048698023,0.0090139767,0.0035600095,0.0001852041,0.0216167515,0.0031483145,0.0001046836,0.0311055904,0.0019925395,0.037597775,0.0337889861,0.002261504,0.0101418589,0.0047546836,0.0115236016,0.0353620422,0.0192934486,6.45E-05,0.048231441,0.0939284829,0.0670954403,0.0075480333,0.0178667027,0.0006671425,0.0034639019,2.92E-05,0.0044053804,0.0004829363,0.0137485472,0.0001134241,0.0031411461,0.0013019095,0.0009005591,0.0032312572,0.0201550442,0.0001244867,0.1357587731,0.0053077624,0.0224570162,0.0011395447,0.0031130891,0.0125124203,6.51E-05
BRUEYSPALAPRAT,0.0305221162,0.2031614589,5.22E-05,0.0015248326,0.005270553,0.0008362937,0.0003922356,0.001717867,0.0001274178,0.216101771,9.15E-05,0.0001041682,0.0002525845,0.0002225381,0.0040052711,0.0092498116,0.2294209756,0.0002187056,0.0051531902,0.0034220672,0.0010597721,0.0559065495,0.0024607064,0.000524033,0.0005571247,0.0001084002,0.0010545251,0.0007981446,0.0006418436,0.0002517772,7.94E-05,0.0782917299,0.0051800792,0.0015657608,0.0088041714,0.0001286326,0.03884275,0.001858576,0.001392075,0.0031675164,0.0050182964,0.0200760558,0.0004677708,0.0005296093,0.0022006064,0.0014279754,0.0149957145,0.0002857065,0.0005391633,0.0053136446,0.0013506725,0.0078201879,0.0123397193,0.0019964045,0.0058111196,8.37E-05,0.0017125045,0.0008832518,0.0021197043,0.0005070899
CAILHAVA,0.008533267,0.0225032351,0.0038942241,0.0761903675,0.0060338494,0.0065601677,0.002498558,0.0061416947,0.0001592392,0.0029015734,0.0001143788,0.0001301832,0.0007256465,0.072123453,0.0095996577,0.002354671,0.0077416912,0.0023862065,0.0053313369,0.0003963544,0.0024846742,0.010420101,0.2209323309,0.0011638543,0.0405019982,0.0003452404,0.0103238587,0.0052610784,0.006902455,0.0049544685,0.011791487,0.0186906859,0.0472521337,0.0661601518,6.67E-05,0.0011911103,0.0163092349,0.0142157361,0.0062936074,0.0153098478,0.0011030501,0.0154135033,3.03E-05,0.0471200993,0.0141687707,0.0058207482,0.0042358292,0.0098707587,0.0410769285,0.0013102082,0.0004587558,0.0175361079,0.0088833863,0.0151518897,0.0047599806,0.000104584,0.0426898647,0.0042044964,0.0214194374,0.0077507869
CAILLEAU,0.0081968976,0.0117954482,9.95E-05,0.0878009108,0.0016243647,0.0016128312,0.0086661747,0.007164451,0.0074919112,0.0028492751,0.0011672805,0.0011953469,0.0009113453,0.0344174772,0.2154413181,0.0001063315,0.0005573246,0.000807784,0.0273991542,0.0275524553,0.0015818434,0.0762209676,0.0019405469,0.0001652438,0.0113864626,0.000206648,0.0064128781,0.0097376267,0.0003596025,0.0062455183,0.0822718617,0.0175381552,0.0106070961,0.0393499165,0.0001018147,0.0215158103,0.0008655229,0.0051285297,0.0368611641,0.0247503778,0.0027417419,0.0002570961,4.62E-05,0.0258517549,0.0463792824,0.0080487012,0.0014685381,0.0014043197,0.0133228116,0.0001936459,0.0060912707,0.0101376053,0.0001965032,0.0144652033,0.0007949597,0.0001595315,0.0487240835,0.0089375914,0.0105712885,0.0001027156
CAMPISTRON,0.004539695,0.0002710186,0.000700639,0.0121010238,0.0223382567,0.0063517166,0.0101004486,0.0066570958,0.0027035948,0.0001247222,0.0001970556,0.0111261643,0.0102889665,0.0009448597,0.0023343082,8.56E-05,0.0005358682,0.0129141866,0.0239981268,0.015337808,0.0128326922,0.0197765479,0.0006620456,0.0086443617,0.0422174665,0.000524835,0.0013921057,0.0065074246,0.0033241624,0.0024323274,0.0002165983,0.0017146458,0.0605666482,0.0596449912,8.43E-05,0.0005126256,0.0009314534,0.0019094148,0.0283985742,0.1043570014,0.0020319909,0.0002692728,2.26E-05,0.0398148961,0.0035589857,0.0068789892,0.0007582941,0.0079656065,5.76E-05,0.0002050777,3.60E-05,0.0694160018,0.0002929093,0.0063620332,0.1243941513,0.0002786885,0.0199297287,0.0078512614,0.2095241219,5.03E-05
CHABANON,0.0109378953,0.0150642221,0.0016031323,0.0287518453,0.0056136195,0.0238425136,0.0090049964,0.0076479337,0.0123184717,0.0005143895,0.0018609439,0.0040495488,0.0074577175,0.01892072,0.0152566724,4.72E-05,0.0109065527,0.0073380781,0.011985213,0.0067947201,0.003122859,0.062060641,0.1537578475,0.0007011656,0.0288442679,0.0015030995,0.0053647874,0.0041741769,0.0012172717,0.0060943922,0.0006169829,0.0054712435,0.0403348116,0.1006968575,4.52E-05,0.0055746202,0.0465832585,0.0023823017,0.0178265996,0.0937209207,0.0006594059,0.0202947483,2.05E-05,0.0377182864,0.0055807897,0.0011145301,7.94E-05,0.0058419171,0.00199334,0.0010184719,0.0010494257,0.0186543746,0.0042723144,0.0046170595,0.0041098301,7.08E-05,0.0500335285,0.0208728353,0.0392400987,0.0027487277
CHAMFORT,0.0121063431,0.0001278383,4.42E-05,0.0021020827,0.0002485655,0.0578005339,0.0029868225,0.0018488651,0.0024745354,0.0002404092,7.75E-05,0.0010729344,0.0056471839,0.0001884117,0.001250267,4.72E-05,0.0004226828,0.0042059005,0.0111732252,0.0274047392,0.0013694528,0.0084050367,0.0006929771,0.0016498533,0.0203044156,0.0005740163,0.0079664452,0.0028079396,0.0048748899,0.0011474662,0.0010711915,0.0006199358,0.0225804315,0.2183173128,4.52E-05,0.0015301243,0.0003843976,0.0013953779,0.0224913933,0.0585566221,0.0003723292,0.000114182,2.05E-05,0.0164924669,0.0165753828,0.0098826103,7.95E-05,0.0264858667,0.0005641996,0.0004363279,3.27E-05,0.0109677551,8.73E-05,0.0011635999,0.0189479823,7.09E-05,0.1106102024,0.0275872346,0.2512086569,4.56E-05
