filenames,binids
tc0175_A03_S02,3
tc0167_A01_S01,1
tc0387_A03_S01,3
tc0548_A04_S04,4
tc0723_A03_S02,5
tc0504_A04_S01,4
tc0227_A02_S04,4
tc0533_A01_S04,1
tc0660_A05_S04,5
tc0266_A04_S02,4
tc0212_A02_S02,2
tc0678_A02_S04,3
tc0265_A05_S03,5
tc0294_A04_S03,4
tc0083_A02_S02,2
tc0594_A02_S02,2
tc0487_A04_S04,5
tc0267_A04_S03,4
tc0170_A02_S01,2
tc0220_A05_S02,5
tc0173_A03_S02,3
tc0591_A04_S02,4
tc0284_A04_S02,4
tc0166_A03_S01,3
tc0335_A03_S02,3
tc0328_A05_S03,5
tc0201_A02_S03,3
tc0438_A02_S03,3
tc0078_A05_S02,5
tc0510_A02_S02,1
tc0602_A03_S02,3
tc0234_A02_S01,3
tc0001_A03_S01,3
tc0709_A02_S02,2
tc0718_A05_S01,5
tc0573_A03_S01,3
tc0161_A05_S05,5
tc0486_A03_S02,3
tc0196_A02_S02,3
tc0294_A01_S04,1
tc0328_A01_S01,1
tc0201_A02_S04,3
tc0459_A04_S01,4
tc0359_A04_S02,4
tc0171_A03_S03,3
tc0156_A01_S01,1
tc0565_A01_S02,1
tc0203_A01_S02,1
tc0581_A05_S01,4
tc0522_A01_S04,2
tc0234_A01_S03,2
tc0530_A01_S01,1
tc0352_A01_S03,1
tc0475_A01_S01,1
tc0530_A01_S04,2
tc0334_A02_S03,2
tc0565_A04_S01,4
tc0430_A05_S02,5
tc0145_A03_S03,3
tc0265_A04_S04,4
tc0232_A03_S03,3
tc0324_A03_S03,3
tc0365_A01_S03,2
tc0220_A01_S03,1
tc0541_A03_S02,5
tc0563_A04_S04,4
tc0390_A04_S02,4
tc0222_A02_S01,2
tc0590_A05_S03,5
tc0688_A04_S02,4
tc0130_A01_S01,1
tc0604_A02_S02,4
tc0439_A05_S03,5
tc0001_A05_S03,5
tc0361_A05_S04,5
tc0459_A04_S03,4
tc0159_A03_S03,3
tc0176_A04_S04,4
tc0265_A03_S03,3
tc0325_A04_S02,4
tc0218_A04_S01,4
tc0590_A01_S03,1
tc0287_A03_S02,5
tc0217_A01_S02,1
tc0352_A02_S01,2
tc0713_A03_S01,3
tc0657_A01_S01,1
tc0566_A01_S01,1
tc0084_A06_S01,5
tc0214_A04_S01,
tc0438_A04_S03,5
tc0495_A03_S02,3
tc0709_A01_S04,2
tc0160_A04_S01,3
tc0578_A02_S01,1
tc0629_A03_S02,3
tc0025_A04_S07,5
tc0133_A01_S04,1
tc0527_A01_S01,1
tc0724_A02_S04,3
tc0156_A02_S01,2
tc0704_A02_S04,3
tc0334_A01_S03,1
tc0143_A04_S02,4
tc0581_A06_S01,5
tc0566_A03_S03,3
tc0416_A05_S01,5
tc0564_A05_S01,4
tc0203_A02_S01,2
tc0608_A02_S03,2
tc0469_A01_S07,2
tc0484_A03_S01,2
tc0147_A04_S02,4
tc0627_A03_S02,3
tc0498_A02_S01,1
tc0140_A02_S03,2
tc0178_A03_S04,3
tc0190_A03_S03,3
tc0324_A01_S03,1
tc0091_A05_S03,5
tc0509_A03_S01,3
tc0694_A05_S03,5
tc0545_A05_S02,5
tc0153_A04_S02,4
tc0591_A01_S01,1
tc0570_A02_S01,2
tc0703_A02_S03,4
tc0132_A05_S02,5
tc0294_A05_S02,5
tc0473_A02_S01,1
tc0381_A02_S03,2
tc0324_A03_S02,3
tc0610_A01_S02,1
tc0329_A02_S03,2
tc0188_A02_S04,3
tc0714_A01_S01,1
tc0065_A01_S02,1
tc0700_A01_S03,1
tc0174_A04_S03,4
tc0527_A02_S03,2
tc0548_A04_S05,5
tc0273_A01_S02,1
tc0504_A02_S01,1
tc0351_A03_S01,2
tc0090_A04_S02,5
tc0361_A03_S02,3
tc0138_A03_S03,3
tc0365_A03_S01,4
tc0300_A02_S02,2
tc0215_A02_S04,3
tc0151_A03_S03,4
tc0622_A02_S03,2
tc0431_A01_S01,1
tc0714_A02_S03,2
tc0063_A01_S02,1
tc0230_A05_S01,5
tc0704_A05_S01,5
tc0141_A01_S03,1
tc0662_A04_S03,3
tc0132_A01_S02,1
tc0001_A04_S03,4
tc0512_A02_S01,1
tc0001_A01_S02,1
tc0173_A04_S01,3
tc0180_A01_S02,1
tc0399_A03_S02,3
tc0630_A01_S04,1
tc0707_A01_S01,1
tc0230_A04_S04,5
tc0131_A06_S03,5
tc0722_A02_S03,2
tc0025_A03_S02,2
tc0197_A01_S05,2
tc0567_A05_S01,4
tc0331_A05_S02,5
tc0088_A01_S03,1
tc0694_A01_S01,1
tc0625_A03_S04,3
tc0392_A05_S01,5
tc0567_A04_S01,3
tc0136_A03_S03,3
tc0161_A05_S03,5
tc0491_A03_S02,3
tc0267_A04_S01,3
tc0162_A05_S04,5
tc0453_A01_S01,1
tc0163_A01_S02,1
tc0402_A03_S03,3
tc0593_A01_S03,2
tc0527_A02_S02,2
tc0583_A03_S01,3
tc0168_A02_S01,1
tc0498_A04_S01,3
tc0660_A04_S02,4
tc0268_A02_S01,2
tc0169_A03_S03,2
tc0713_A03_S02,3
tc0365_A02_S01,3
tc0573_A02_S03,2
tc0583_A05_S03,5
tc0677_A03_S01,3
tc0273_A02_S04,2
tc0394_A01_S02,1
tc0259_A05_S01,5
tc0438_A01_S03,2
tc0172_A02_S01,2
tc0622_A03_S05,3
tc0526_A02_S01,2
tc0329_A04_S03,4
tc0139_A02_S04,2
tc0266_A03_S02,3
tc0533_A04_S01,4
tc0660_A01_S02,1
tc0529_A02_S02,3
tc0217_A05_S01,5
tc0161_A05_S04,5
tc0323_A01_S02,1
tc0083_A02_S01,2
tc0453_A03_S02,4
tc0134_A02_S04,3
tc0230_A05_S02,5
tc0476_A01_S03,1
tc0071_A04_S04,5
tc0458_A02_S05,4
tc0692_A01_S01,1
tc0182_A04_S01,4
tc0722_A04_S03,4
tc0527_A03_S02,3
tc0506_A01_S03,2
tc0039_A02_S03,4
tc0704_A02_S02,2
tc0295_A01_S04,1
tc0473_A01_S03,1
tc0583_A03_S04,
tc0582_A02_S01,2
tc0727_A04_S03,4
tc0323_A05_S01,5
tc0653_A02_S04,2
tc0080_A02_S01,2
tc0648_A03_S02,3
tc0034_A03_S01,2
tc0593_A01_S02,1
tc0178_A05_S03,5
tc0416_A04_S01,4
tc0172_A01_S03,1
tc0681_A05_S04,5
tc0691_A03_S01,3
tc0232_A04_S02,5
tc0499_A01_S01,1
tc0051_A04_S04,4
tc0584_A04_S02,4
tc0284_A03_S03,3
tc0625_A02_S01,2
tc0531_A01_S02,1
tc0188_A04_S02,4
tc0188_A01_S02,1
tc0584_A05_S03,5
tc0187_A03_S01,3
tc0063_A02_S01,2
tc0177_A04_S03,4
tc0185_A05_S02,5
tc0127_A05_S03,5
tc0218_A03_S07,4
tc0343_A01_S01,1
tc0532_A05_S03,5
tc0440_A03_S01,3
tc0651_A01_S04,2
tc0416_A02_S03,3
tc0458_A01_S07,2
tc0588_A02_S01,2
tc0137_A05_S04,5
tc0656_A04_S03,4
tc0173_A02_S01,1
tc0512_A02_S02,2
tc0037_A05_S03,5
tc0200_A03_S01,3
tc0350_A03_S01,3
tc0025_A04_S03,4
tc0578_A01_S01,1
tc0491_A02_S01,2
tc0073_A05_S02,5
tc0583_A01_S03,1
tc0186_A01_S01,1
tc0651_A04_S01,
tc0259_A02_S04,2
tc0723_A01_S03,2
tc0487_A03_S02,3
tc0678_A02_S03,2
tc0120_A04_S01,4
tc0300_A03_S03,4
tc0677_A05_S03,5
tc0472_A01_S02,1
tc0334_A05_S01,4
tc0222_A01_S02,1
tc0494_A01_S02,1
tc0388_A04_S02,4
tc0326_A02_S02,2
tc0222_A01_S04,1
tc0588_A05_S03,5
tc0501_A03_S03,5
tc0173_A05_S05,5
tc0504_A04_S06,5
tc0565_A03_S02,3
tc0506_A02_S03,4
tc0702_A04_S02,4
tc0450_A03_S03,5
tc0125_A01_S01,1
tc0486_A04_S04,5
tc0469_A01_S03,1
tc0063_A02_S02,2
tc0171_A01_S01,1
tc0078_A02_S02,2
tc0528_A05_S01,5
tc0162_A04_S02,4
tc0521_A04_S02,4
tc0170_A05_S01,5
tc0259_A01_S01,1
tc0664_A02_S04,2
tc0182_A05_S02,5
tc0328_A05_S02,5
tc0296_A03_S01,3
tc0509_A04_S01,4
tc0164_A05_S01,5
tc0279_A01_S04,1
tc0688_A03_S03,3
tc0600_A03_S01,4
tc0215_A02_S02,2
tc0496_A02_S02,3
tc0233_A01_S04,1
tc0623_A05_S02,5
tc0473_A01_S01,1
tc0569_A04_S02,4
tc0175_A02_S03,2
tc0162_A01_S02,1
tc0629_A06_S02,5
tc0169_A06_S05,5
tc0140_A03_S03,3
tc0476_A03_S04,5
tc0171_A01_S03,1
tc0054_A02_S01,2
tc0410_A02_S03,3
tc0589_A01_S01,1
tc0586_A01_S01,1
tc0719_A01_S03,1
tc0576_A05_S04,5
tc0258_A03_S02,3
tc0088_A05_S01,5
tc0650_A04_S04,4
tc0078_A03_S02,3
tc0469_A01_S04,1
tc0142_A03_S02,3
tc0476_A02_S08,4
tc0080_A01_S02,1
tc0707_A05_S02,5
tc0659_A02_S01,1
tc0573_A01_S03,1
tc0143_A01_S02,1
tc0421_A04_S02,5
tc0491_A04_S02,4
tc0391_A01_S03,1
tc0140_A03_S05,4
tc0694_A03_S01,3
tc0661_A04_S03,4
tc0218_A03_S03,3
tc0389_A02_S03,3
tc0351_A04_S01,3
tc0604_A01_S03,3
tc0450_A01_S04,1
tc0079_A03_S02,3
tc0415_A02_S03,2
tc0563_A01_S01,1
tc0563_A03_S01,3
tc0271_A04_S03,4
tc0053_A02_S03,2
tc0191_A01_S01,1
tc0271_A04_S01,3
tc0590_A01_S01,1
tc0381_A01_S01,1
tc0585_A01_S01,1
tc0664_A04_S03,4
tc0603_A03_S02,3
tc0232_A02_S05,2
tc0059_A05_S01,4
tc0584_A03_S01,3
tc0269_A01_S02,1
tc0605_A03_S02,
tc0564_A05_S02,5
tc0584_A02_S03,2
tc0335_A05_S02,5
tc0232_A01_S01,1
tc0131_A04_S02,3
tc0131_A01_S01,1
tc0629_A05_S03,4
tc0218_A01_S01,1
tc0393_A01_S02,1
tc0677_A03_S03,3
tc0323_A04_S01,3
tc0142_A01_S03,1
tc0138_A03_S01,3
tc0300_A03_S02,
tc0409_A01_S04,2
tc0562_A02_S01,2
tc0533_A05_S04,5
tc0218_A02_S01,1
tc0217_A05_S02,5
tc0725_A02_S03,2
tc0054_A04_S01,
tc0665_A03_S03,3
tc0148_A04_S03,4
tc0459_A02_S05,2
tc0120_A02_S02,2
tc0409_A02_S03,2
tc0329_A04_S01,4
tc0290_A02_S05,2
tc0602_A04_S04,5
tc0532_A02_S04,3
tc0187_A04_S03,4
tc0130_A02_S01,1
tc0197_A05_S04,5
tc0501_A02_S01,2
tc0285_A03_S03,
tc0197_A01_S04,2
tc0007_A02_S04,3
tc0174_A02_S01,2
tc0658_A05_S04,5
tc0195_A05_S02,5
tc0084_A02_S01,1
tc0070_A02_S03,2
tc0570_A01_S03,2
tc0239_A01_S03,2
tc0386_A01_S01,1
tc0530_A03_S04,4
tc0663_A02_S01,1
tc0330_A02_S01,2
tc0607_A02_S05,3
tc0653_A04_S01,4
tc0152_A02_S02,2
tc0203_A05_S02,5
tc0302_A02_S03,3
tc0653_A05_S01,5
tc0152_A04_S03,4
tc0497_A05_S02,5
tc0610_A03_S04,3
tc0707_A01_S02,1
tc0526_A03_S01,3
tc0528_A02_S03,2
tc0144_A05_S01,5
tc0682_A03_S01,2
tc0711_A03_S01,4
tc0593_A01_S01,1
tc0259_A04_S04,4
tc0220_A03_S06,4
tc0530_A01_S03,1
tc0197_A04_S01,4
tc0436_A01_S01,1
tc0176_A04_S03,4
tc0130_A02_S03,2
tc0716_A01_S02,1
tc0071_A02_S03,2
tc0679_A03_S03,3
tc0250_A02_S02,2
tc0141_A05_S03,5
tc0528_A04_S04,4
tc0582_A03_S02,4
tc0461_A01_S05,2
tc0203_A04_S01,4
tc0007_A02_S06,4
tc0702_A04_S03,5
tc0051_A05_S02,5
tc0132_A02_S01,1
tc0332_A04_S03,5
tc0488_A02_S01,1
tc0440_A04_S01,4
tc0247_A05_S03,5
tc0715_A03_S02,5
tc0335_A04_S03,4
tc0718_A02_S01,2
tc0159_A02_S02,2
tc0704_A04_S01,4
tc0588_A02_S02,2
tc0136_A01_S03,1
tc0573_A02_S02,2
tc0212_A04_S01,
tc0361_A01_S03,1
tc0389_A03_S03,4
tc0065_A01_S04,2
tc0529_A03_S01,4
tc0295_A02_S04,3
tc0159_A04_S03,4
tc0222_A03_S02,3
tc0509_A04_S02,4
tc0688_A01_S04,1
tc0294_A04_S01,4
tc0077_A05_S05,5
tc0259_A03_S03,3
tc0160_A01_S01,1
tc0327_A02_S01,1
tc0333_A01_S03,1
tc0422_A01_S01,1
tc0089_A05_S01,5
tc0222_A03_S06,4
tc0422_A03_S02,3
tc0654_A02_S01,2
tc0142_A02_S02,2
tc0626_A01_S01,1
tc0680_A02_S01,1
tc0603_A03_S01,3
tc0230_A01_S01,1
tc0610_A02_S03,2
tc0594_A03_S02,3
tc0144_A04_S04,4
tc0294_A05_S01,5
tc0275_A02_S03,2
tc0563_A01_S02,1
tc0660_A01_S03,1
tc0143_A01_S03,1
tc0077_A05_S02,5
tc0053_A05_S01,5
tc0166_A04_S01,4
tc0529_A01_S04,2
tc0622_A04_S01,4
tc0566_A04_S02,4
tc0182_A03_S01,3
tc0247_A03_S05,3
tc0089_A03_S02,3
tc0295_A05_S02,5
tc0331_A03_S01,2
tc0335_A05_S04,5
tc0055_A01_S03,2
tc0187_A04_S05,4
tc0655_A04_S03,4
tc0140_A01_S02,1
tc0196_A01_S02,1
tc0184_A05_S01,5
tc0361_A02_S01,2
tc0551_A04_S03,4
tc0358_A02_S02,2
tc0322_A03_S01,3
tc0137_A02_S03,2
tc0065_A01_S03,2
tc0072_A01_S02,1
tc0530_A02_S04,3
tc0155_A04_S02,4
tc0715_A02_S05,3
tc0589_A03_S02,3
tc0592_A03_S01,3
tc0168_A04_S02,3
tc0167_A05_S04,5
tc0399_A01_S02,1
tc0258_A05_S05,5
tc0079_A05_S02,5
tc0690_A04_S02,4
tc0390_A05_S01,5
tc0454_A03_S04,4
tc0061_A02_S01,2
tc0180_A01_S01,1
tc0172_A05_S03,5
tc0653_A05_S03,5
tc0565_A01_S01,1
tc0713_A03_S04,3
tc0074_A03_S03,3
tc0715_A02_S04,3
tc0601_A01_S03,1
tc0190_A05_S02,5
tc0604_A01_S02,2
tc0054_A01_S02,1
tc0439_A01_S01,1
tc0173_A01_S02,1
tc0421_A05_S01,5
tc0215_A02_S05,3
tc0564_A03_S01,3
tc0234_A01_S01,1
tc0522_A02_S02,2
tc0673_A05_S01,5
tc0184_A05_S02,5
tc0294_A01_S01,1
tc0545_A01_S01,1
tc0578_A06_S01,5
tc0051_A04_S02,4
tc0688_A04_S04,4
tc0529_A04_S02,5
tc0409_A05_S03,5
tc0649_A04_S04,4
tc0727_A03_S04,3
tc0497_A01_S03,1
tc0627_A01_S03,1
tc0654_A01_S02,1
tc0578_A03_S02,3
tc0648_A05_S03,5
tc0679_A02_S02,2
tc0525_A03_S01,2
tc0690_A05_S03,5
tc0120_A01_S01,1
tc0352_A05_S01,4
tc0607_A01_S01,1
tc0172_A04_S03,4
tc0533_A03_S03,3
tc0718_A04_S01,4
tc0181_A03_S04,2
tc0485_A03_S02,4
tc0709_A04_S01,4
tc0359_A01_S01,1
tc0181_A03_S05,3
tc0163_A01_S01,1
tc0131_A06_S02,5
tc0441_A05_S01,4
tc0171_A03_S01,3
tc0566_A03_S01,3
tc0071_A01_S02,1
tc0569_A02_S01,1
tc0275_A05_S04,5
tc0600_A02_S03,3
tc0145_A05_S03,5
tc0607_A03_S02,3
tc0533_A04_S03,4
tc0692_A03_S02,3
tc0196_A05_S02,5
tc0296_A02_S04,2
tc0164_A02_S04,3
tc0296_A03_S02,3
tc0495_A03_S01,2
tc0655_A05_S03,5
tc0265_A01_S01,1
tc0078_A01_S01,1
tc0407_A04_S01,3
tc0174_A01_S01,1
tc0591_A01_S03,1
tc0651_A05_S03,5
tc0299_A03_S04,5
tc0358_A02_S04,3
tc0173_A01_S01,1
tc0593_A01_S04,2
tc0201_A01_S02,1
tc0510_A02_S04,2
tc0512_A06_S01,3
tc0664_A03_S03,3
tc0350_A05_S01,4
tc0077_A05_S01,4
tc0250_A05_S04,5
tc0179_A05_S05,5
tc0189_A05_S03,5
tc0712_A02_S03,2
tc0072_A05_S01,4
tc0331_A02_S03,2
tc0651_A05_S02,5
tc0660_A05_S03,5
tc0588_A03_S04,
tc0706_A03_S02,3
tc0039_A01_S04,2
tc0485_A04_S02,5
tc0359_A02_S02,2
tc0343_A02_S03,2
tc0436_A04_S01,4
tc0162_A01_S01,1
tc0652_A01_S02,1
tc0582_A04_S02,5
tc0179_A01_S02,1
tc0644_A05_S02,5
tc0551_A04_S05,4
tc0146_A05_S02,5
tc0562_A01_S03,1
tc0390_A02_S02,2
tc0086_A02_S03,3
tc0186_A01_S03,1
tc0690_A03_S01,3
tc0266_A03_S03,3
tc0076_A05_S02,5
tc0147_A02_S04,2
tc0512_A08_S01,5
tc0500_A03_S03,5
tc0441_A01_S01,1
tc0187_A01_S04,1
tc0657_A03_S03,3
tc0525_A05_S02,5
tc0500_A03_S02,4
tc0589_A04_S04,5
tc0607_A01_S04,1
tc0727_A03_S02,3
tc0627_A03_S01,3
tc0593_A02_S02,3
tc0429_A03_S02,4
tc0540_A01_S01,1
tc0285_A03_S01,3
tc0184_A01_S01,1
tc0688_A05_S02,5
tc0353_A04_S01,4
tc0429_A02_S01,2
tc0497_A05_S03,5
tc0271_A04_S04,4
tc0548_A01_S02,1
tc0516_A03_S01,3
tc0186_A04_S03,4
tc0389_A05_S02,5
tc0658_A02_S05,2
tc0217_A03_S03,3
tc0144_A04_S03,4
tc0331_A03_S02,3
tc0169_A02_S04,1
tc0147_A05_S02,5
tc0701_A03_S04,5
tc0233_A03_S03,3
tc0186_A02_S01,2
tc0268_A02_S03,2
tc0166_A02_S02,2
tc0696_A05_S01,5
tc0037_A01_S02,1
tc0168_A03_S03,3
tc0473_A02_S04,2
tc0563_A05_S02,5
tc0053_A02_S01,2
tc0156_A05_S03,5
tc0694_A04_S02,4
tc0509_A04_S03,4
tc0164_A02_S02,2
tc0679_A04_S02,4
tc0391_A02_S02,2
tc0326_A05_S01,5
tc0247_A02_S02,2
tc0293_A01_S05,2
tc0233_A05_S02,5
tc0086_A03_S02,3
tc0217_A01_S05,2
tc0191_A02_S03,2
tc0247_A02_S03,2
tc0531_A03_S04,3
tc0297_A03_S03,3
tc0472_A03_S01,4
tc0300_A04_S04,5
tc0626_A05_S02,5
tc0649_A01_S03,1
tc0132_A03_S02,3
tc0292_A02_S05,4
tc0007_A01_S02,1
tc0691_A01_S02,1
tc0694_A01_S03,1
tc0174_A04_S02,4
tc0149_A03_S01,3
tc0327_A04_S01,
tc0493_A04_S04,4
tc0513_A06_S02,5
tc0214_A05_S04,5
tc0520_A01_S04,2
tc0610_A02_S02,1
tc0086_A05_S03,5
tc0116_A02_S02,2
tc0499_A03_S03,
tc0681_A05_S02,5
tc0080_A04_S04,5
tc0039_A03_S03,5
tc0441_A05_S02,5
tc0034_A03_S04,3
tc0628_A02_S01,2
tc0177_A03_S03,3
tc0522_A03_S01,3
tc0161_A01_S02,1
tc0504_A03_S07,4
tc0159_A04_S02,4
tc0709_A05_S03,5
tc0387_A02_S03,2
tc0656_A05_S02,5
tc0269_A01_S01,1
tc0566_A05_S01,5
tc0230_A04_S02,4
tc0526_A02_S03,2
tc0587_A03_S03,3
tc0334_A05_S04,5
tc0134_A05_S03,5
tc0201_A03_S01,3
tc0652_A05_S02,5
tc0501_A01_S03,2
tc0329_A03_S02,3
tc0051_A01_S01,1
tc0453_A01_S03,1
tc0440_A02_S01,2
tc0516_A05_S03,5
tc0583_A03_S03,3
tc0191_A03_S04,3
tc0198_A05_S02,5
tc0565_A05_S03,5
tc0295_A02_S01,2
tc0146_A02_S01,2
tc0678_A02_S02,2
tc0077_A02_S01,1
tc0551_A04_S01,3
tc0620_A03_S01,3
tc0707_A02_S03,3
tc0090_A01_S01,1
tc0250_A03_S03,3
tc0496_A03_S01,4
tc0295_A05_S01,5
tc0148_A01_S02,1
tc0188_A01_S01,1
tc0533_A02_S04,3
tc0682_A03_S03,3
tc0294_A01_S03,1
tc0551_A05_S02,5
tc0086_A04_S02,4
tc0438_A02_S01,2
tc0025_A04_S06,5
tc0239_A01_S02,1
tc0116_A05_S02,5
tc0091_A03_S01,3
tc0525_A02_S02,2
tc0267_A01_S01,1
tc0545_A05_S01,5
tc0688_A02_S01,2
tc0157_A04_S01,
tc0570_A03_S01,3
tc0629_A04_S02,
tc0335_A01_S02,1
tc0078_A03_S03,4
tc0145_A03_S04,3
tc0186_A05_S03,5
tc0652_A05_S03,5
tc0436_A04_S02,4
tc0152_A02_S01,2
tc0086_A01_S01,1
tc0268_A03_S03,3
tc0438_A05_S01,5
tc0679_A02_S03,2
tc0250_A01_S01,1
tc0580_A02_S02,2
tc0169_A02_S01,1
tc0588_A04_S02,4
tc0087_A05_S02,5
tc0233_A04_S03,4
tc0172_A03_S02,3
tc0393_A04_S02,4
tc0130_A05_S04,5
tc0580_A01_S03,1
tc0151_A01_S01,1
tc0653_A01_S02,1
tc0187_A01_S02,1
tc0250_A04_S01,4
tc0055_A01_S01,1
tc0333_A02_S01,2
tc0297_A02_S02,2
tc0037_A03_S03,3
tc0586_A01_S02,1
tc0083_A04_S03,4
tc0177_A03_S02,3
tc0155_A03_S04,3
tc0007_A03_S04,5
tc0034_A05_S04,5
tc0388_A05_S01,5
tc0073_A03_S03,3
tc0561_A02_S02,2
tc0139_A03_S03,3
tc0150_A05_S03,5
tc0331_A04_S03,4
tc0719_A03_S01,3
tc0247_A03_S04,3
tc0001_A02_S02,2
tc0494_A04_S02,4
tc0184_A03_S04,3
tc0454_A03_S06,5
tc0167_A05_S05,5
tc0362_A03_S01,2
tc0513_A05_S04,4
tc0065_A02_S01,3
tc0047_A01_S03,1
tc0504_A03_S03,3
tc0136_A03_S01,2
tc0200_A01_S01,1
tc0702_A05_S02,5
tc0385_A04_S04,4
tc0201_A01_S01,1
tc0713_A01_S04,1
tc0397_A03_S01,3
tc0027_A03_S03,5
tc0664_A05_S03,5
tc0302_A02_S01,2
tc0521_A05_S01,5
tc0180_A04_S05,4
tc0576_A05_S02,5
tc0690_A04_S03,4
tc0326_A02_S03,2
tc0127_A02_S01,2
tc0051_A02_S02,2
tc0565_A01_S03,1
tc0220_A03_S03,3
tc0180_A03_S02,3
tc0472_A02_S01,3
tc0051_A02_S01,2
tc0258_A01_S02,1
tc0322_A04_S01,4
tc0181_A05_S01,4
tc0133_A02_S03,2
tc0259_A05_S04,5
tc0130_A05_S02,5
tc0195_A04_S01,4
tc0215_A03_S04,5
tc0388_A03_S02,3
tc0055_A03_S03,5
tc0576_A02_S02,2
tc0220_A04_S03,4
tc0155_A03_S02,3
tc0439_A05_S01,5
tc0430_A01_S02,1
tc0271_A03_S03,3
tc0416_A04_S03,5
tc0181_A03_S01,2
tc0058_A04_S01,4
tc0279_A01_S02,1
tc0153_A02_S02,2
tc0385_A01_S03,1
tc0247_A02_S01,1
tc0145_A02_S01,2
tc0001_A04_S01,4
tc0323_A02_S03,2
tc0653_A03_S05,4
tc0630_A03_S03,3
tc0295_A04_S03,5
tc0402_A01_S02,1
tc0698_A03_S02,3
tc0476_A02_S01,2
tc0071_A02_S02,2
tc0048_A04_S02,4
tc0650_A01_S02,1
tc0585_A02_S01,2
tc0465_A01_S03,1
tc0407_A01_S02,1
tc0700_A03_S03,
tc0198_A05_S01,5
tc0082_A03_S02,5
tc0233_A03_S04,3
tc0584_A01_S03,1
tc0275_A03_S04,4
tc0475_A02_S02,3
tc0275_A01_S03,1
tc0233_A04_S01,3
tc0522_A03_S02,
tc0198_A02_S03,2
tc0659_A02_S02,2
tc0074_A02_S03,2
tc0322_A01_S03,1
tc0362_A03_S02,3
tc0296_A05_S03,5
tc0259_A04_S02,4
tc0140_A04_S02,4
tc0164_A01_S04,2
tc0410_A01_S03,1
tc0048_A03_S04,3
tc0495_A01_S01,1
tc0450_A01_S03,1
tc0454_A01_S02,1
tc0521_A03_S04,
tc0469_A01_S01,1
tc0723_A03_S01,5
tc0266_A03_S04,3
tc0548_A05_S02,5
tc0360_A05_S01,5
tc0422_A02_S01,2
tc0175_A02_S01,2
tc0622_A03_S03,3
tc0565_A02_S01,2
tc0132_A01_S03,1
tc0458_A01_S03,1
tc0526_A01_S04,1
tc0362_A02_S03,2
tc0607_A01_S03,1
tc0087_A01_S03,1
tc0402_A05_S01,4
tc0177_A01_S02,1
tc0305_A04_S02,4
tc0296_A04_S04,4
tc0147_A03_S03,3
tc0458_A01_S01,1
tc0137_A05_S02,5
tc0137_A04_S01,3
tc0269_A04_S01,4
tc0644_A02_S01,2
tc0656_A03_S01,3
tc0275_A02_S06,3
tc0662_A01_S03,1
tc0648_A03_S03,3
tc0184_A05_S04,5
tc0072_A04_S03,4
