year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1900,0.0311614766,0.0018358288,0.0087353368,0.017935727,0.048597243,0.0374641769,0.0023369864,0.0225708279,0.005226084,0.0008514967,0.0149443468,0.0550777492,0.0028799323,0.002987912,0.0054450156,0.0035092401,0.0050100471,0.0202960926,0.0111020291,0.011491612,0.0240680163,0.0096218653,0.052663414,0.0220921355,0.0029710613,0.006472785,0.0105323272,0.0857926216,0.0133926755,0.0052989355,0.0575869501,0.0066860015,0.0040999793,0.0184056968,0.007099801,0.0264176991,0.0150765082,0.0028387772,0.0487193372,0.004153126,0.0109048795,0.0012326881,0.0219517904,0.0650141506,0.0170246551,0.0097994755,0.0789121486,0.0272695502,0.0248985995,0.0095431879
1905,0.051713328,0.0016576521,0.0067055763,0.0188589351,0.0656271821,0.0304122032,0.0017709559,0.0188309848,0.0024364022,0.0006940963,0.0214369899,0.0702186365,0.0024959064,0.0049231071,0.0049974555,0.0049143246,0.0035351446,0.0097273759,0.011814666,0.012347642,0.0319771312,0.0076194322,0.0374270061,0.0166890404,0.0095659454,0.0107713652,0.0248565385,0.0595165585,0.0090932171,0.0019264434,0.0868899632,0.0080728943,0.0032152088,0.0262922684,0.0055062664,0.0151794113,0.0683159296,0.0037236168,0.0110770429,0.0045425536,0.0051525189,0.0009384737,0.0096268688,0.034961315,0.0158704818,0.0091625875,0.0600861286,0.0539689266,0.0173025872,0.0055537134
1910,0.0432989369,0.0009617286,0.009106866,0.0189975078,0.0944157617,0.0527540441,0.0031094121,0.0490454591,0.0026247006,0.0008278602,0.0500812388,0.0336407321,0.0068434233,0.0066274629,0.0046157629,0.0104244994,0.0096271484,0.0162550049,0.0090621556,0.0079694874,0.0364339829,0.0113633415,0.0267625267,0.0023462014,0.0072382447,0.0071009936,0.007157923,0.0158184367,0.0116557298,0.0014032756,0.0067313924,0.0769119911,0.0045159724,0.02159069,0.0133724329,0.0644820416,0.0298698919,0.0033410002,0.0075869436,0.004238533,0.0089017385,0.0010810258,0.00988309,0.027436837,0.0117508788,0.0137338048,0.0641185227,0.0386799865,0.0253700058,0.0088333722
1915,0.0522051318,0.0014244938,0.0238665073,0.0216845538,0.0586019484,0.0194501136,0.0079300398,0.0442901998,0.0069854982,0.0012218822,0.0545032569,0.027376152,0.0039810767,0.0127403321,0.0107183046,0.0113812446,0.0123956086,0.0261858965,0.0077072351,0.007885416,0.0255299204,0.0082294116,0.0223200184,0.0027841574,0.0476303326,0.0131118867,0.0371907827,0.0210211251,0.0091680387,0.0104819038,0.0127262732,0.0309519825,0.0032186127,0.0305837573,0.0040920575,0.0969356311,0.0371683149,0.0032018646,0.0094664128,0.0038021656,0.0065420231,0.001160783,0.0176146564,0.0386059206,0.0123935117,0.0177031897,0.0079640189,0.0217840978,0.025288911,0.0087933461
1920,0.0287692269,0.0011813293,0.0096108143,0.0298265626,0.0940961782,0.0080194768,0.0018153772,0.1419189066,0.0049687517,0.0011409966,0.0824581237,0.0277828547,0.0047471044,0.0078309631,0.0048911237,0.0052988144,0.0126115275,0.0199136964,0.0084208297,0.0124206159,0.0275253009,0.0108340139,0.0371353081,0.0032773197,0.0070055492,0.0073447178,0.0061442249,0.0404900003,0.0121491475,0.0016855973,0.0108544969,0.0083380745,0.005254726,0.0210332442,0.0104797907,0.0790317661,0.0298125252,0.0050131261,0.0078832428,0.0070968509,0.0128796679,0.0015948228,0.0093473837,0.0311303812,0.0107028816,0.009550673,0.019987771,0.0229152682,0.0250934898,0.0106853639
1925,0.0370832029,0.0013784174,0.00929434,0.0334725332,0.0977536455,0.0069939571,0.0030243334,0.0396754829,0.0025638287,0.000920919,0.064070111,0.0424018427,0.0043129551,0.0026518823,0.0044185483,0.0049203313,0.008537494,0.0222804445,0.0115573268,0.1156967025,0.0230875924,0.0080385789,0.0244448933,0.0882238905,0.0068771439,0.0095789281,0.0146044872,0.0406147975,0.0115592363,0.0020883651,0.009484442,0.0059049856,0.0053159551,0.0231006482,0.0099543381,0.0048312003,0.0280816356,0.0033794003,0.0053559277,0.0058291878,0.0120270074,0.0016456791,0.0090041808,0.0233469855,0.0143991621,0.0080490246,0.0169373552,0.0245412737,0.032458136,0.0142272633
1930,0.020003677,0.0019110247,0.1048139044,0.0354979146,0.04584002,0.0102600896,0.0091785427,0.0240842098,0.0051343625,0.0020535416,0.0310051768,0.0614494689,0.010988564,0.0044147013,0.0069776048,0.007991811,0.0091283848,0.0248820404,0.0227197087,0.0109302302,0.0334609032,0.0103480631,0.0142494379,0.0017552554,0.020790673,0.0164359432,0.0059374567,0.0276150714,0.0418939288,0.0269225567,0.0057878848,0.0066374145,0.0068595894,0.0150902873,0.0241172852,0.0049160761,0.0299740755,0.0054956934,0.0080648301,0.0119552782,0.0638496237,0.001790448,0.0202270536,0.0169816628,0.0140016538,0.0136541809,0.0039087906,0.028599656,0.0600180563,0.0093961924
1935,0.0273131446,0.0021074627,0.0137076881,0.048373471,0.0650982523,0.0110407598,0.0106315349,0.0131483035,0.0074284757,0.0023999239,0.0210081909,0.0467721721,0.0080721412,0.0027563704,0.0065821111,0.0056326271,0.0069840336,0.0268038456,0.0733862783,0.0354017956,0.0276177601,0.0104432665,0.0125304438,0.0052168874,0.0663300576,0.0174581418,0.0030082776,0.018439045,0.0339941609,0.0999407555,0.004254063,0.0045804617,0.0091510999,0.0216452772,0.0131667504,0.003347503,0.0103729856,0.0042429133,0.0064740677,0.011450709,0.0314990849,0.0033439481,0.0184455343,0.022415245,0.0157479046,0.0072665357,0.0034763349,0.0225551555,0.0468961834,0.0100408645
1940,0.036592025,0.002136054,0.0207752575,0.0276802439,0.0381725975,0.0066844827,0.0152475439,0.0110952545,0.003905254,0.002483824,0.0234292579,0.0259562416,0.0083274475,0.0040188076,0.0074000571,0.0059879804,0.0071745112,0.0267559973,0.0192517921,0.0093882198,0.0350498558,0.0052247392,0.0137994056,0.0028702484,0.0179108719,0.0119361851,0.0056368562,0.0290799323,0.0179614639,0.1936026774,0.002457356,0.0061017303,0.0062775304,0.0132728931,0.0220525992,0.0039569234,0.0230904322,0.0065401404,0.0065898885,0.0263863764,0.0926709968,0.0023293718,0.0190207237,0.0286018763,0.0100852463,0.0079931467,0.004736254,0.0137796164,0.0465868313,0.0219349814
1945,0.0257125136,0.0044226977,0.0321797628,0.0568084691,0.0190436436,0.0146667497,0.0648718614,0.0095295962,0.0135662258,0.0039397046,0.0229740664,0.0436564469,0.0263881536,0.0029105816,0.0119682327,0.0102979846,0.0130999375,0.0207092934,0.0035895806,0.007343316,0.0518387365,0.0103789541,0.0137020034,0.0043251484,0.0045591164,0.012663204,0.0035714767,0.0297656451,0.038187123,0.0092708377,0.0039692269,0.0060336416,0.0092361307,0.015710084,0.0331043494,0.0023437223,0.0133348427,0.004498073,0.0056369066,0.011687996,0.1227624634,0.005189878,0.0207598172,0.0194629594,0.0112639699,0.0094125001,0.0042470681,0.0101361887,0.0756275797,0.0296415391
1950,0.0234509953,0.0023281464,0.0711986087,0.0361643797,0.0121999281,0.008122999,0.022117676,0.0104834551,0.0106037616,0.0032889081,0.0237539296,0.0456811009,0.0132367857,0.0044958237,0.0129580682,0.0263913342,0.0065872823,0.0192002909,0.0030868764,0.0255923112,0.0362071815,0.0072005397,0.0109247782,0.0025895279,0.0053476004,0.0143773089,0.0060742595,0.0132866681,0.0198936289,0.0104728961,0.0044597404,0.0048381957,0.0069474209,0.0393667054,0.0291379798,0.0036444824,0.0069927786,0.0045010137,0.0101275388,0.1291478939,0.0754617672,0.0028688197,0.0209782466,0.009145093,0.0088603062,0.0061074779,0.0019015484,0.0129844701,0.1077179614,0.0074935096
1955,0.0196313046,0.0050694214,0.0206280448,0.0373201805,0.0234591993,0.0081539826,0.0903285515,0.0151470579,0.0081446609,0.0065789873,0.0232421785,0.0333620841,0.018249598,0.0062832509,0.0389390332,0.0358090085,0.0049078801,0.0103440821,0.005913786,0.0102686224,0.0481795984,0.0360444179,0.0130173009,0.0025240777,0.0068338554,0.0121930683,0.0038437709,0.0143058961,0.0237521277,0.0688498059,0.0027735235,0.0055416146,0.0167027428,0.0164822216,0.0531386811,0.003445905,0.0232558208,0.0057464988,0.0041732165,0.0190624054,0.0485145578,0.0057814562,0.0115120424,0.0093982028,0.0116917752,0.0162319625,0.0033779135,0.021264066,0.0507391528,0.0198414067
1960,0.0368733994,0.0040875306,0.0184809118,0.0445274534,0.0528855226,0.0075064155,0.0179044395,0.0141645179,0.0056165419,0.0044340492,0.0201940872,0.0198942428,0.0112508659,0.1004046592,0.0699240389,0.0430452879,0.0076924383,0.0218700981,0.006619858,0.0086416214,0.0313786303,0.0054589822,0.0059476075,0.0023557262,0.0128345097,0.0170785849,0.0064701586,0.0152811348,0.022553893,0.0668230787,0.004666081,0.0051455611,0.0154712487,0.019898965,0.0201298761,0.0043714273,0.0100092541,0.0063573464,0.003851889,0.0215148885,0.036364253,0.0046731277,0.0176372974,0.0149250619,0.0100203443,0.015006007,0.0021075969,0.0140576358,0.0603021805,0.0112896729
1965,0.0387307084,0.0039286111,0.0491491157,0.0566224239,0.0278256568,0.009777122,0.0450632918,0.0050139309,0.008495412,0.0045595991,0.0156301438,0.0287128954,0.0462013217,0.0674953922,0.0867536803,0.0150185765,0.0088278457,0.0113967421,0.0030015455,0.0101537765,0.0336640354,0.0055363594,0.008383986,0.0021257096,0.0046580538,0.0146566203,0.0110455343,0.0130667567,0.0178843167,0.0069221379,0.0053146427,0.0035057665,0.0215499334,0.0241194627,0.0325021417,0.0025670494,0.0093993345,0.0247382715,0.0081230692,0.0195870368,0.0379066505,0.0073449594,0.0155115913,0.0086271484,0.0100552675,0.0168619141,0.0013069527,0.0094305821,0.0679000853,0.0133468388
1970,0.0417405849,0.0665980984,0.0125327026,0.0797928044,0.0154158515,0.0194747161,0.0360375697,0.0083294675,0.0057431382,0.0035793319,0.0195164529,0.0324442056,0.037059327,0.0091215761,0.0498776741,0.0225601603,0.0054960244,0.0155518815,0.0074713247,0.0045374713,0.0280142858,0.0080587336,0.0054408474,0.0039199366,0.0139116707,0.0153750784,0.0489241476,0.0095988108,0.013716857,0.0046643729,0.0084440098,0.0039377598,0.027612023,0.0323826674,0.0192878249,0.00343986,0.0085582535,0.0465296897,0.0053398016,0.0078419159,0.07234423,0.0104897197,0.0134816838,0.0081348829,0.0101971468,0.0080755662,0.0041320376,0.0092171302,0.0472285095,0.0088201836
1975,0.0287456431,0.152076528,0.0065378689,0.0455484064,0.0094088534,0.019884023,0.0248300313,0.006111641,0.0157433656,0.0091642466,0.0149629034,0.049644448,0.0191762909,0.0051698515,0.0179961916,0.0314294716,0.0052215058,0.0126840294,0.0148449899,0.0053209681,0.0207608303,0.0071288692,0.0058346035,0.0036568776,0.0096607815,0.0116285395,0.008610947,0.0195306157,0.0126150369,0.0087557749,0.0095244606,0.0046718197,0.0573721107,0.0189397026,0.0147119294,0.0026786103,0.0084633159,0.0614890074,0.0061956051,0.0058482449,0.0066145997,0.0253396959,0.0195951238,0.0072732779,0.0172144592,0.0802764169,0.004222212,0.0138187694,0.0216087729,0.0114577321
1980,0.0292078352,0.0118839713,0.0147365962,0.0366921581,0.0141419685,0.008260703,0.0116601409,0.0041502889,0.0294985901,0.0089337438,0.0136719965,0.0444458636,0.0169190144,0.006979481,0.0720618848,0.0207536785,0.0073219173,0.0394177369,0.011023078,0.0077965285,0.0269358777,0.0100799786,0.0029302583,0.0019603969,0.0165353517,0.1240440219,0.0118516158,0.0122319712,0.0243795067,0.0044694718,0.0088369989,0.0029394517,0.0749873475,0.0168422408,0.0127120541,0.0044915069,0.0121629883,0.0401584054,0.006238808,0.0198761954,0.0104470859,0.0295234942,0.0118591584,0.0088246061,0.0184386472,0.0199979258,0.0029447163,0.0151802482,0.0325920216,0.0059704732
1985,0.0262914358,0.0211355565,0.0256301799,0.0515288591,0.0165997307,0.008882098,0.0255147665,0.0084186879,0.0309087491,0.0679892115,0.012143593,0.0234434973,0.0223376356,0.0064942484,0.0471913557,0.0159804324,0.0058510869,0.016644187,0.0050871348,0.0054821363,0.0329301529,0.0108068729,0.0104494184,0.0032637107,0.0122924887,0.06796445,0.0062182939,0.0118438754,0.0177102397,0.0086952718,0.0047985349,0.0044975893,0.0612227428,0.0252719842,0.0253516758,0.0033316508,0.0209044541,0.0198979497,0.0160438648,0.0223897227,0.0110708905,0.0503746809,0.0140112462,0.0114588018,0.02377763,0.0163763515,0.0026420092,0.0084412317,0.0241930327,0.0082145998
1990,0.0172461461,0.0142038008,0.0097609315,0.0374557148,0.0086440787,0.0089374956,0.0105951359,0.0047556583,0.0720391864,0.0409228431,0.0150151331,0.021964053,0.0238161943,0.0027681172,0.0079247839,0.0149786367,0.0074964178,0.0264667735,0.0137584938,0.0038886827,0.0207214069,0.0091703889,0.0062063917,0.0033968617,0.0070220726,0.1136643792,0.0040801624,0.0083283782,0.0249239541,0.0048232354,0.0052625565,0.0026028683,0.0829509023,0.0195171586,0.0269016464,0.0026886339,0.0090434905,0.0141318972,0.0071765076,0.00641247,0.0122949601,0.0670285651,0.0127961825,0.0107631851,0.0438967054,0.0104241004,0.0015257225,0.0446952708,0.04934359,0.0055680783
1995,0.0275178641,0.0146477394,0.007118343,0.0661276616,0.0135927097,0.0064895806,0.0163218062,0.0057058093,0.0264920253,0.0958447571,0.0149998299,0.033954026,0.032298686,0.0028582662,0.0103290256,0.0173297013,0.006854226,0.0167413654,0.0111620447,0.0051984415,0.0282009188,0.0062737945,0.007375099,0.0025303096,0.0084729481,0.0147222342,0.0226732367,0.0101462847,0.0181229995,0.0078606514,0.0076360179,0.0038845865,0.0691535942,0.0143277373,0.0592598895,0.002982261,0.0098560099,0.0147642314,0.0072403674,0.0085264715,0.0100321087,0.0889052413,0.0140458705,0.0056761555,0.0142508107,0.011063892,0.0019486101,0.0360975922,0.0495895303,0.0127966367
